code_name,href,context
A01,/?code=A01&showdescription=yes,STOMATOLOGICAL PREPARATIONS
A02,/?code=A02&showdescription=yes,DRUGS FOR ACID RELATED DISORDERS
A03,/?code=A03&showdescription=yes,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A04,/?code=A04&showdescription=yes,ANTIEMETICS AND ANTINAUSEANTS
A05,/?code=A05&showdescription=yes,BILE AND LIVER THERAPY
A06,/?code=A06&showdescription=yes,DRUGS FOR CONSTIPATION
A07,/?code=A07&showdescription=yes,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
A08,/?code=A08&showdescription=yes,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
A09,/?code=A09&showdescription=yes,"DIGESTIVES, INCL. ENZYMES"
A10,/?code=A10&showdescription=yes,DRUGS USED IN DIABETES
A11,/?code=A11&showdescription=yes,VITAMINS
A12,/?code=A12&showdescription=yes,MINERAL SUPPLEMENTS
A13,/?code=A13&showdescription=yes,TONICS
A14,/?code=A14&showdescription=yes,ANABOLIC AGENTS FOR SYSTEMIC USE
A15,/?code=A15&showdescription=yes,APPETITE STIMULANTS
A16,/?code=A16&showdescription=yes,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
B01,/?code=B01&showdescription=yes,ANTITHROMBOTIC AGENTS
B02,/?code=B02&showdescription=yes,ANTIHEMORRHAGICS
B03,/?code=B03&showdescription=yes,ANTIANEMIC PREPARATIONS
B05,/?code=B05&showdescription=yes,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B06,/?code=B06&showdescription=yes,OTHER HEMATOLOGICAL AGENTS
C01,/?code=C01&showdescription=yes,CARDIAC THERAPY
C02,/?code=C02&showdescription=yes,ANTIHYPERTENSIVES
C03,/?code=C03&showdescription=yes,DIURETICS
C04,/?code=C04&showdescription=yes,PERIPHERAL VASODILATORS
C05,/?code=C05&showdescription=yes,VASOPROTECTIVES
