code_name,href,context
A01A,/?code=A01A&showdescription=yes,STOMATOLOGICAL PREPARATIONS
A02A,/?code=A02A&showdescription=yes,ANTACIDS
A02B,/?code=A02B&showdescription=yes,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02X,/?code=A02X&showdescription=yes,OTHER DRUGS FOR ACID RELATED DISORDERS
A03A,/?code=A03A&showdescription=yes,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03B,/?code=A03B&showdescription=yes,"BELLADONNA AND DERIVATIVES, PLAIN"
A03C,/?code=A03C&showdescription=yes,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03D,/?code=A03D&showdescription=yes,ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03E,/?code=A03E&showdescription=yes,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS
A03F,/?code=A03F&showdescription=yes,PROPULSIVES
A04A,/?code=A04A&showdescription=yes,ANTIEMETICS AND ANTINAUSEANTS
A05A,/?code=A05A&showdescription=yes,BILE THERAPY
A05B,/?code=A05B&showdescription=yes,"LIVER THERAPY, LIPOTROPICS"
A05C,/?code=A05C&showdescription=yes,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION
A06A,/?code=A06A&showdescription=yes,DRUGS FOR CONSTIPATION
A07A,/?code=A07A&showdescription=yes,INTESTINAL ANTIINFECTIVES
A07B,/?code=A07B&showdescription=yes,INTESTINAL ADSORBENTS
A07C,/?code=A07C&showdescription=yes,ELECTROLYTES WITH CARBOHYDRATES
A07D,/?code=A07D&showdescription=yes,ANTIPROPULSIVES
A07E,/?code=A07E&showdescription=yes,INTESTINAL ANTIINFLAMMATORY AGENTS
A07F,/?code=A07F&showdescription=yes,ANTIDIARRHEAL MICROORGANISMS
A07X,/?code=A07X&showdescription=yes,OTHER ANTIDIARRHEALS
A08A,/?code=A08A&showdescription=yes,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
A09A,/?code=A09A&showdescription=yes,"DIGESTIVES, INCL. ENZYMES"
A10A,/?code=A10A&showdescription=yes,INSULINS AND ANALOGUES
A10B,/?code=A10B&showdescription=yes,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10X,/?code=A10X&showdescription=yes,OTHER DRUGS USED IN DIABETES
A11A,/?code=A11A&showdescription=yes,"MULTIVITAMINS, COMBINATIONS"
A11B,/?code=A11B&showdescription=yes,"MULTIVITAMINS, PLAIN"
A11C,/?code=A11C&showdescription=yes,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
A11D,/?code=A11D&showdescription=yes,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12"
A11E,/?code=A11E&showdescription=yes,"VITAMIN B-COMPLEX, INCL. COMBINATIONS"
A11G,/?code=A11G&showdescription=yes,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS"
A11H,/?code=A11H&showdescription=yes,OTHER PLAIN VITAMIN PREPARATIONS
A11J,/?code=A11J&showdescription=yes,"OTHER VITAMIN PRODUCTS, COMBINATIONS"
A12A,/?code=A12A&showdescription=yes,CALCIUM
A12B,/?code=A12B&showdescription=yes,POTASSIUM
A12C,/?code=A12C&showdescription=yes,OTHER MINERAL SUPPLEMENTS
A13A,/?code=A13A&showdescription=yes,TONICS
A14A,/?code=A14A&showdescription=yes,ANABOLIC STEROIDS
A14B,/?code=A14B&showdescription=yes,OTHER ANABOLIC AGENTS
A16A,/?code=A16A&showdescription=yes,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
B01A,/?code=B01A&showdescription=yes,ANTITHROMBOTIC AGENTS
B02A,/?code=B02A&showdescription=yes,ANTIFIBRINOLYTICS
B02B,/?code=B02B&showdescription=yes,VITAMIN K AND OTHER HEMOSTATICS
B03A,/?code=B03A&showdescription=yes,IRON PREPARATIONS
B03B,/?code=B03B&showdescription=yes,VITAMIN B12 AND FOLIC ACID
B03X,/?code=B03X&showdescription=yes,OTHER ANTIANEMIC PREPARATIONS
B05A,/?code=B05A&showdescription=yes,BLOOD AND RELATED PRODUCTS
B05B,/?code=B05B&showdescription=yes,I.V. SOLUTIONS
B05C,/?code=B05C&showdescription=yes,IRRIGATING SOLUTIONS
B05D,/?code=B05D&showdescription=yes,PERITONEAL DIALYTICS
B05X,/?code=B05X&showdescription=yes,I.V. SOLUTION ADDITIVES
B05Z,/?code=B05Z&showdescription=yes,HEMODIALYTICS AND HEMOFILTRATES
B06A,/?code=B06A&showdescription=yes,OTHER HEMATOLOGICAL AGENTS
C01A,/?code=C01A&showdescription=yes,CARDIAC GLYCOSIDES
C01B,/?code=C01B&showdescription=yes,"ANTIARRHYTHMICS, CLASS I AND III"
C01C,/?code=C01C&showdescription=yes,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
C01D,/?code=C01D&showdescription=yes,VASODILATORS USED IN CARDIAC DISEASES
C01E,/?code=C01E&showdescription=yes,OTHER CARDIAC PREPARATIONS
C02A,/?code=C02A&showdescription=yes,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
C02B,/?code=C02B&showdescription=yes,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING"
C02C,/?code=C02C&showdescription=yes,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
C02D,/?code=C02D&showdescription=yes,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
C02K,/?code=C02K&showdescription=yes,OTHER ANTIHYPERTENSIVES
C02L,/?code=C02L&showdescription=yes,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
